word,synonym,meaning,example,video,
Cloak- hide,,"Coats, jackets & cloaks",,https://www.youtube.com/embed/YDkNaVsAqu0,
Cloak and dagger,,Plotting & trapping,I'm tired of all these cloak-and-dagger (= secretive) meetings - let's discuss the issuesopenly.,https://www.youtube.com/embed/YDkNaVsAqu0,
Cloakroom,,Parts of buildings: rooms,I went to the cloakroom in the first interval.,https://www.youtube.com/embed/rKy4ERPkg1E,
Clobber- punish/ hit,,Hitting and beating,The government is proposing new measures to clobber tax dodgers.,,
Clobber-possessions,Belongings and possessions,,Did you bring all your tennis clobber?,,
Cloche- cover,,,,https://www.youtube.com/embed/SJP3-0N0qhI,
Cloche- hat,,Hats & scarves,,https://www.youtube.com/embed/SJP3-0N0qhI,
Put/ turn the clocks back,,Similar and the same,The court's decision on this case will turn the clock back 50 years.,,
Put/ turn the clocks forward,,"To imagine, or to use your imagination","If we put the clock forward ten years, what do you see yourself doing?",,
Clock- hit,,Hitting and beating,Then the other guy turned round and clocked him one (= hit him).,https://www.google.com/search?rlz=1C1CHBF_enBD787BD787&biw=1366&bih=662&tbm=isch&sa=1&ei=suieWurBEMbWvgTawofIAw&q=Clock-+hit&oq=Clock-+hit&gs_l=psy-ab.3..0i8i30k1l6.283636.284039.0.284343.2.2.0.0.0.0.136.136.0j1.2.0....0...1c.1.64.psy-ab..0.1.136.0...131.BxhfM9eOaNs#imgdii=bPZUvSj1q8W6eM:&imgrc=MNPdiFaZkbQrdM:,
Clock in,,Working hours,What time did you clock in this morning?,,
Clock out,,Working hours,,,
Clock sth up,,"Succeeding, achieving and fulfilling",The Australians have clocked up three gold medals and two silvers in the swimmingevents.,,
Be watching the clock,,Using the eyes,"I had a train to catch, so I was watching the clock all through the meeting.",,
Round/ around the clock,,Continually & repeatedly,She needed round-the-clock nursing.,https://www.youtube.com/embed/xJDlu0a3_gw,
Turn back the clock,,"Remembering, reminding and reminders",Now we're going to turn back the clock with some rock and roll from the 1950s.,,
Like clockwork,Watches & clocks,a clockwork train/mouse,,https://www.youtube.com/embed/nwr1UZKpacg,
Run/go like clockwork,,Efficient and effective,The party went like clockwork.,https://youtu.be/sZ6GHpZC41g?t=9s,
Clod- soil,,Masses and large amounts of things,Their hoofs threw up clods of earth as they galloped across the field.,,
Clod- person,,Stupid and silly people,Don't be such a clod!,,
Clodhopper-heavy shoe,,Shoes,You're not coming in the house in those great clodhoppers.,https://www.youtube.com/embed/e2JdtcPcloA,
Clog,,Shoes,,https://www.youtube.com/embed/lE04NCifrLM,
Cloister,,Parts of religious buildings,,https://www.youtube.com/embed/FNXzfH5wAmA,
Close a deal,,Causing something to end abandonall good,We closed a deal with a major supermarket.,,
close your eyes to sth,,Neglecting and ignoring,She closed her eyes to the fact that her son was stealing.,,
Close ranks,,"Backing, supporting & defending",,https://tenor.com/view/squad-gang-family-backup-crew-gif-10575250,
Close (sth) down,,Success & failure in business,The local factory closed down in June.,,
Close in,,"Enclosing, surrounding and immersing",The advancing soldiers closed in on the town.,,
Close sth off,,Closing and blocking,Police quickly closed off the area.,,
Close on/ to- almost,,,The play closed with the tragic death of both hero and heroine.,,
Close- secretive,,Secrecy and privacy,He's so close about his past - it seems like he's hiding something.,https://www.youtube.com/embed/WJx584_Qoe4,
Close- lacking air,,Hot & heat,Can I open the window? It's very close in here.,,
At close quarters/range,,Closeness in distance and time,He was shot at close range.,,
Be close to the bone,,Insults & abuse,,,
Be too close for comfort,,Closeness in distance and time,"His mother lives in the next street to us, which is a little too close for comfort.",,
Come close to blows,Fighting,,Phil was furious with the manager - I think he came close to blows.,,
Close-grained,,driftwood,,https://youtu.be/kW8TKyZMBWM?t=2s,
Close-knit,,"Backing, supporting & defending",a close-knit family/community,https://youtu.be/_XADL2slnlw?t=2s,
Close-set,,Closeness in distance and time,He had close-set eyes.,https://youtu.be/I8Nkn52og3Y?t=2s,
Close-shave/ close call,,Difficult situations and unpleasant experiences,I had a close shave this morning - some idiot almost knocked me off my bike,https://youtu.be/vfFH3R8asQo?t=2s,
Closet (n),almirah,,a bedroom/linen/storage closet,https://www.youtube.com/embed/Ef2vw_qhhgw,
Closet (v),,Closing and blocking,Two weeks before my exams I closeted myself (away) in my room with my books and I didn't speak to anyone.,https://www.youtube.com/embed/Ef2vw_qhhgw,
Clot,,Masses and large amounts of things accumulation,He had a blood clot removed from his brain.,,
Cloth- eared,,absent-minded,,https://youtu.be/BzPejTYy4so?t=6s,
Clothes horse- frame,,clothes brush,,https://youtu.be/PZdolr7xXyQ?t=2s,
Clothes horse- person,,Fashion,,https://youtu.be/PZdolr7xXyQ?t=2s,
Clotted cream,,butter,,https://youtu.be/aJKiYlQCtCc?t=5s,
Be under a cloud,,abase,The cabinet minister left office under a cloud after a fraud scandal.,,
A cloud hanging over sb,,agonizing,"When you're waiting for an operation, you feel like there's a cloud hanging over you.",,
A cloud on the horizon,,Difficult situations and unpleasant experiences,The only cloud on the horizon is the physics exam in June.,,
Every cloud has a silver lining,,Sympathy & compassion,,https://youtu.be/J-l6rfnY4Mc?t=7s,
Cloud over- sky,,"Precipitation: clouds, dew, fog & steam",,,
Cloud over- face,,Grimacing and frowning cloudcurl eye,,,
Cloud bank- low mass of cloud,,cloud-capped,,https://youtu.be/M31VTfYXvCo?t=2s,
Cloud burst,,acid rain,,https://www.youtube.com/embed/JI3WEH_-19Y,
Cloud- capped,,altocumulus,,https://youtu.be/OnHgNKQz0TY?t=1s,
Cloud-chamber,,atomizer,,https://youtu.be/xbsD_tu5NcE,
Live/ be in cloud cuckoo land,,delusional,,https://youtu.be/jrW7Y3qH4ko?t=3s,
Clout-hit,,"biff, lick, poke, punch, slug",,,
Clove- spice,,allspice,The ham was studded with cloves.,https://youtu.be/N9lNNzDtUXQ?t=2s,
Clover- plant,bud,,,https://youtu.be/N9lNNzDtUXQ?t=2s,
Live/ be in clover,,Rich and wealthy,"With the income from the family estate, she's in clover.",,
Cloying- too emotional,,affected,She criticized the cloying sentimentality of the film.,,
Cluck,,bark,,https://www.youtube.com/embed/TZJB_EX6KaY,
Clue sb in,,Teaching in general brief CAL,"He'd been out of the country for weeks, so I clued him in on all that's been happening.",,
Clued up on/ about,,Aware,Shania is more clued up on/about movies than I am.,https://youtu.be/FnDuhClardA?t=5s,
Clump- group,Groups and collections of things,,a clump of grass/daffodils,https://youtu.be/5PMUjDBH2hY?t=2s,
Clump- lump,Masses and large amounts of things,,There were big clumps of soil on his boots.,https://youtu.be/5PMUjDBH2hY?t=2s,
Clump- noisy steps,,Moving firmly on foot,She clumped around the room/up the stairs in her boots.,https://youtu.be/5PMUjDBH2hY?t=2s,
Inability and awkwardness,,,Her movements were rather clumsy.,https://www.youtube.com/embed/3eqA3x9-yQk,
Cluster,,Groups and collections of things,Have a look at the cluster of galaxies in this photograph.,https://www.youtube.com/embed/5iGUS4tUlwY,
Clutch at sth,apprehend,Capturing or taking possession of things,"Feeling herself fall, she clutched at a branch.",https://www.youtube.com/embed/_nx4IJ5qYYc,
Clutch- group,,Groups and collections of things,,https://www.youtube.com/embed/_nx4IJ5qYYc,
Sbs clutches- \humorous,,,,,
Clutter- untidy,,Sorry about the clutter in the kitchen,,https://www.youtube.com/embed/B82OdZVfFsc,
C-note,,North American money,,https://youtu.be/EIRslE1VCnk,
Coachwork- vehicle related,,The exterior of vehicles,,https://www.youtube.com/embed/nViw__-UyWY,
Coagulate,,Physical & chemical processes,,https://www.youtube.com/embed/KYc3EckFGWA,
Carry/ take coals to Newcastle,,"Giving, providing and supplying accommodate accord",Exporting pine to Scandinavia seems like carrying coals to Newcastle.,https://youtu.be/Dz0wHpFvk-0?t=3s,
Coal black,,"Black, white & grey",,https://youtu.be/-xy67QUcgzI,
cotton on,,Understanding and comprehending,I'd only just cottoned on to the fact that they were having a relationship.,https://youtu.be/cjEPuBDd6G0?t=11s,
cotton gin,,Machines - general words,,https://youtu.be/mdIXjLSMK6c?t=5s,
cotton-picking,,Expressions of anger,"Just wait one cotton-picking minute, will you?",https://youtu.be/uUGXY-XK_Tk?t=2s,
cottonwood,,Deciduous trees,,https://www.youtube.com/embed/jdLPb3vF9kM,
cotyledon,,bud,,https://www.youtube.com/embed/YBFIp1_xghs,
Couch sth in/ as sth,,ask,I don't understand this form - it's all couched in legal terminology.,,
Couchette,,Parts of ships & boats,,https://youtu.be/AMwIK4ms33k?t=6s,
Couch potato,,Laziness and lazy people,,https://www.youtube.com/embed/iJExYjlJ2po,
Cougar,,Felines (cats),,https://www.youtube.com/embed/ObEHOTPOZCI,
Cough (sth up)- money,,Paying money,,,
coughing fit,,Colds & flu,,https://www.youtube.com/embed/niX5fIaZtKM,
Cough mixture,,Medicines & drugs,,https://www.youtube.com/embed/kTWFQI28Xj0,
Could do with sth,,Wanting things,This place could do with a good cleaning.,,
Coulis,,"Sauces, dressings, dips & pickles",,https://www.youtube.com/embed/pGtrJtiKZ_g,
Council of war,,Official meetings,Parents are holding a council of war to decide what to do about the threatened closure of the school.,https://youtu.be/B653jCpJfJA?t=5s,
Keep your own counsel,,Secrecy and privacy,"I'd love to know what Anna thinks, but she always keeps her own counsel.",https://youtu.be/qW8TdQoo910?t=1s,
could count on (the fingers of) one hand,,Small in number and quantity,I could count the number of times he's paid for dinner on the fingers of one hand.,,
count your blessings,,Relieved and thankful,,,
count against sb/sth,,Preventing and impeding,"Gail's qualified for the job, but her lack of experience will count against her.",,
count sb in,,Taking part and getting involved,"Do you want to go swimming with us tomorrow?"" ""Yes, count me in.",,
count on sb,,Trusting and not trusting,I can count on my parents to help me.,,
count on sth,,"Planning, expecting and arranging","i'm counting on the meeting ending on time, or I'll miss my bus.",,
count sth out,,Numbering & counting,,,
count sb out %uFFFD not include,,Excluding,,,
count sb out - boxing,,Fighting sports,Cooper was counted out in the final round.,,
count towards sth,,"Succeeding, achieving and fulfilling",The work that the students do during the year will count towards their final grade.,,
keep count,,"So many people asked us for help, it was hard to keep count.",,,
lose count,,,,https://www.youtube.com/embed/MGY7odNBMG8,
"on the count of 3/4/5,",,Numbering & counting,"On the count of three, I'd like you all to stand up.",,
count-man,,"compatriot, fellow citizen, landsman",,https://youtu.be/rxbeuSTKxcg?t=6s,
count- crime,,Crime - general words,The prisoner was found guilty on two counts of murder.,https://youtu.be/rxbeuSTKxcg?t=6s,
count- opinion,,"Opinions, beliefs and points of view",I'm afraid I disagree with you on all/several counts (= I disagree with all/several of youropinions).,https://youtu.be/rxbeuSTKxcg?t=6s,
be out for the count,,Animal physiology: sleep & sleeping,It looks like Jessica is out for the count.,https://tenor.com/view/sleeping-sleep-so-tired-passed-out-gif-9020689,
countdown,Numbering & counting,,The countdown to the election has already begun.,https://www.youtube.com/embed/LUi2jjFPuAg,
countenance- face,,The head & face,He was of noble countenance.,https://youtu.be/y3Ir-NEKXMA?t=5s,
countenance- approval,,Accepting & agreeing,We will not give/lend countenance to any kind of terrorism.,https://youtu.be/y3Ir-NEKXMA?t=5s,
over the counter,,,You can buy most cold remedies over the counter.,https://youtu.be/UdCYcMvOPM8,
under the counter,,Buying & selling - general words,The kids managed to get cigarettes under the counter.,,
counter-argument,,Arguments & disagreements,He is going some sort of counter with me,,
counterattack,,Responding to an attack,The Republicans have still not been able to launch a strong counterattack against the new healthcare system.,https://youtu.be/5ega_SGpDUM?t=6s,
counterattraction,,Attracting and tempting,Digital downloads are now a major counterattraction to cinemagoing.,https://youtu.be/NAWwmpjNcbI?t=2s,
counterbalance / counterpoise,,Balance and imbalance,The ugliness of the resort is counterbalanced by the excellence of the skiing.,https://youtu.be/WR8MQrLXSdo?t=2s,
counterblast,,Answering & responding,The author has since delivered a damning counterblast to her critics.,https://youtu.be/qC18uASUOTw?t=2s,
counter-culture,,Nomadic & alternative lifestyles,Rahim leads a counter life for last one decade,https://youtu.be/zMEt2xEk9Qk?t=2s,
counter-espionage,,International relations: spying and espionage,,https://youtu.be/g0i6IDjRoMc?t=3s,
counterfeit,,Forgery,He has been doing this counterfeit for there years,https://youtu.be/uPRzQpx1izc?t=2s,
counterfoil,,Bills & invoices,He has already completed the counterfoils of the plane ticket,https://youtu.be/A_zMFsdFtYk?t=2s,
counterintelligence,,International relations: spying and espionage,,https://youtu.be/agcNTROQ9LI?t=3s,
counter-intuitive,,Logic and reason,Steering a sailboat is counter-intuitive - you push the tiller the opposite way to the way you want to go.,https://youtu.be/E72CHbQ_6uI?t=3s,
countermeasure,,Reacting and responding,The Chancellor's countermeasures against inflation have been completely ineffective.,https://youtu.be/u75lwTlSQ5c?t=3s,
counterpane,,Bed linen & covers,Today I buy one counterpane for my mom,https://youtu.be/VD5QbXBI19I?t=2s,
counterpoint,,Technical music terms,,https://youtu.be/TAQ8Ymbsjm4?t=2s,
counterweight,,Balance and imbalance,The things need two man to counter weight,https://youtu.be/441aWOTmAv8?t=6s,
countess,,"Royalty, aristocracy & titles",the Countess of Abingdon,https://youtu.be/_wY18dXlcls?t=6s,
countrified,Towns & regions: the countryside,Thought of myself as sophisticated compared with my countrified relatives.,,https://youtu.be/-qnYZFejRNc?t=3s,
across country,,"Through, across, opposite and against",Getting a train across country from Cambridge to Chester can be difficult.,,
go to the country,,Elections,The prime minister has decided to go to the country.,,
country club,,"Organizations, Societies & clubs",,,
country dance,,Dance & choreography,MY cousin do the country dance very wonderfully,https://youtu.be/Yt5akts4jnQ?t=1s,
country house,,Houses & homes,Through the trees we could see a beautiful Georgian country house.,,
county- place,,Rich people,She mixes with a very county set.,,
county- people,,"Countries, nationalities & continents: country & nation",Didn't he feel guilty about betraying his fellow countrymen and women?,,
county court,,Law courts,He is been assassin to county court,,
coupe,,Cars,,https://www.youtube.com/embed/ut7ysDYPWic,
couplet,,Literature,My brother loves to site poem in couplet,https://youtu.be/Ao6E_1r0UOU?t=6s,
coupling,,Fastening and tying,The carriage at the end of the train was left stranded when the coupling broke.,https://youtu.be/8gQhJB71SL8?t=2s,
have the courage of your convictions,,,"Although many of his policies were unpopular, he had the courage of his convictions to see them through.",https://tenor.com/view/stay-strong-baby-gif-5435525,
courier- message,,Delivering and despatching,I'll courier the relevant documents to you this afternoon.,https://www.youtube.com/embed/hXk10eSN6A0,
courier- holiday,,Tourism & holidays,,https://www.youtube.com/embed/hXk10eSN6A0,
in the course of time,,,I assume they plan to have children in the course of time.,,
with the course of time,,Ways of achieving things,"With the course of time, I've learned to live with my disability.",,
on course,,,He drove in an erratic course down the road.,,
of course,,,"Can you help me?"" ""Of course.",https://youtu.be/xSe7t02JnHo?t=6s,
of course not,,,"Where did you get the money? Did you steal it?"" ""Of course not.",https://youtu.be/yd7Tr0AQCR0?t=6s,
coursing,,Hunting & fishing,A dog is coursing a rabbit on the filed,https://youtu.be/o3TiUWhUe1U?t=3s,
court,,,He's due to appear in court again on Monday.,https://youtu.be/DC6cMYQ0izs?t=5s,
take sb to court,,,She's threatening to take me to court for not paying the bill on time.,https://youtu.be/XseS0MuerCw?t=9s,
settle (a case) out of court,,,The newspaper has agreed to settle out of court.,,
court- sport,,,We have squash courts available at work.,https://youtu.be/JVs677PoxJk?t=6s,
court- area,,,You really should go and see the medieval court in the castle.,https://youtu.be/JVs677PoxJk?t=6s,
court (ROYALTY),,,He quickly lost his popularity at court.,https://youtu.be/JVs677PoxJk?t=6s,
court- please,,,Adams is being courted by a number of football clubs.,https://youtu.be/JVs677PoxJk?t=6s,
court- try to get,,Searching,She courts publicity by inviting journalists to extravagant parties.,https://youtu.be/JVs677PoxJk?t=6s,
court- risk,Taking risks,,Drinking and driving is simply courting disaster.,https://youtu.be/JVs677PoxJk?t=6s,
court- relationship,,Relationships: finding a partner,They courted for two years before getting married.,https://youtu.be/JVs677PoxJk?t=6s,
courteous,,well mannered,"Although she often disagreed with me, she was always courteous.",https://www.youtube.com/embed/bA5eG9VKApc,
by courtesy of,,,Jessie J appears courtesy of Universal Records.,,
courtier,,People who help or serve people professionally,Many of the courtiers were strongly wedded to traditional ways of doing things.,https://youtu.be/KFQaKUxLloM?t=6s,
court martial,,"Court cases, orders & decisions",,https://youtu.be/-b89NvDfHRc?t=2s,
court of inquiry,,People who analyse and judge,,,
courtroom,,,The accused entered the courtroom handcuffed to two police officers.,https://www.youtube.com/embed/YxiyhAwFKiE,
court shoe / pump,,Shoes,,,
courtyard,,Gardens & yards,,https://www.youtube.com/embed/yoCn4G_gDJE,
couscous %uFFFD food,,couscous,,https://www.youtube.com/embed/1szXru-vDfI,
couth,,Polite and respectful,,https://www.youtube.com/embed/-7iprim8jXM,
haute couture,,Fashion,,https://www.youtube.com/embed/v-3RZl3YyJw,
cove - coast,,Bays & gulfs,,https://www.youtube.com/embed/h7MheVUjhOg,
cove %uFFFD man,,,He's an odd-looking cove.,https://www.youtube.com/embed/h7MheVUjhOg,
covenant,,,The contract contained a restrictive covenant against building on the land.,https://youtu.be/4LKTvvzVx3M?t=6s,
cover yourself,,,The police officer was covered by her colleagues while,,
drop everything,abdicate,Stop having or doing something,We just dropped everything and rushed to the hospital.,https://youtu.be/iscVm7fqEoo?t=3m52s,
drop it,abandon,Removing and getting rid of things,I don't want to talk about it any more - let's drop the subject.,,
drop the ball,,to fail to keep working to reach a goal,Public schools have dropped the ball when it comes to teaching kids about art and music.,https://youtu.be/RGs_B1yajdQ?t=10s,
drop,abject,,He's drop-dead gorgeous!,,
drop behind,,Slow and moving slowly,She stopped going to classes and dropped behind in her schoolwork.,https://youtu.be/ES32UFlPOUA?t=6s,
drop by/in,,to visit someone,I dropped in on George on my way home from school.,https://youtu.be/gwmoeif6ucg,
Word-drop off SLEEP,,sleep & sleeping,"I must have dropped off during the show, because I don't remember how it ended.",https://youtu.be/TThDQp5HtQY?t=7s,
drop off DECREASE,,Something that is less,The demand for mobile phones shows no signs of dropping off.,https://youtu.be/5EA04BahZOA?t=3s,
drop Something off,,Falling and dropping,We dropped our luggage off at the hotel and went sightseeing.,https://youtu.be/nW3cdB4ca_Q?t=5s,
drop out,Retiring & resigning,,He dropped out of school when he was 16.,https://www.youtube.com/embed/vYDd7Ak2VNU,
Drop small amount,,a very small amount of a liquid:,I just felt a drop of rain.,https://youtu.be/uJMnxoh_sAU?t=3s,
drops,,liquid medicine given in very small amounts,I often need eye drops for the betterment of my eyes.,https://youtu.be/yGGiH4jN7sk?t=6s,
a drop in the ocean,,Small amounts of money,My letter of protest was just a drop in the ocean.,https://youtu.be/RngbGZg2zGU?t=5s,
a drop too much (to drink),,Drunkenness & sobriety,He is a drop too much that he can not even move.,https://youtu.be/PrITMc0FW64?t=37s,
at the drop of a hat,,Not expected or planned,People will file lawsuits at the drop of a hat these days.,https://youtu.be/apTEHvG9iKg?t=7s,
drop-down menu,,Computer programming & software,Drop dowm is an important menu for computer keyborad,https://youtu.be/z9hD_TmxQL8?t=5s,
drop kick,Rugby,,People in game used drop kick to win the match.,https://www.youtube.com/embed/GtFaeci1Ccg,
drop-leaf table,,Tables & desks,We have a drop leaf table on our house,https://youtu.be/-bT-xm-hkZc?t=3s,
droplet,,a very small drop of a liquid,A droplet can create a vast ocaen,https://www.youtube.com/embed/do0UGxpnpoI,
dropout,,?a student who leaves school before finishing the course of instruction.,As a high school dropout he'll never get a decent job.,https://youtu.be/ZqFuGB3V80g?t=2s,
dropper,,Laboratory equipment,We use dropper in our college life.,https://www.youtube.com/embed/-0DwmzcDxuU,
droppings,,excrement produced by animals or birds,We found mouse droppings in the garage.,https://youtu.be/RzvsjVf_VqQ?t=2s,
dross,,Rubbish and waste,We read all the manuscripts but 95 percent are dross.,https://www.youtube.com/embed/7P971j25jG8,
drought,"Dry weather, arid conditions & dryness",a long period when there is little or no rain,Recently there is a drought in the area.,https://youtu.be/NhtaIYV9ftA?t=8s,
droves,,large numbers:,Local reporters arrived in droves.,https://www.youtube.com/embed/S0tSlVhmc5Q,
drown your sorrows,,to drink alcohol in order to forget your problems,He is in pain and drown in sorrows,,
Word -A drowning man will clutch at a straw,,Too much and unnecessary,Iam drowing paidbills.,https://youtu.be/WaYIxGOGwF0?t=11s,
Word -look like a drowned rat,,Too much and unnecessary,I'm drowning in unpaid bills,https://www.youtube.com/embed/ByPrFPtmZu4sound-,
drown in something,Too much and unnecessary,to have more of something than you are able to deal with,I'm drowning in unpaid bills.,,
drown something out,Hiding and disguising,,He is in playing drwon something out with his friends,,
drowsy,,feeling sleepy esp. when it is not the usual time to sleep,The room is so warm it's making me drowsy.,https://www.youtube.com/embed/dmNsryOP-n8,
drubbing,"Winning, losing & scoring in sport",,Norwich got/received/took a severe drubbing at the hands of Manchester United.,https://www.youtube.com/embed/1J9Ea_N4C3o,
drudgery,"Work, working and the workplace",,the drudgery of housework,https://youtu.be/ZFmAU32GLLo?t=7s,
druid,,Religious people: followers of religious groups,So many fake druid are in the country.,https://youtu.be/Q92L3yiVcjw?t=7s,
bang/beat the drum,,"Backing, supporting & defending",Labour are banging the drum for a united Europe.,,
drum something into someone,,o teach something to someone by frequent repeating,The teacher drummed the names of the state capitals into our heads.,,
drum someone out of something,fired,The chairman was drummed out of office.,,,
drum sth up,Encouraging and urging on,,He was trying to drum up some enthusiasm for the project.,,
drumbeat,Musical instruments,,People in my love the sound of drum beat,https://www.youtube.com/embed/5DitJv7Ysj0,
Drum kit,Musical instruments,,My friend has a drum kit in his room.,https://www.youtube.com/embed/pLc-oUSIYTc,
drumlin,Geography: hills & mountains,,Few days back i went to a drumlin to enjot my time.,https://www.youtube.com/embed/cH2HKOlN6lk,
drum major,Musicians,,We have a drum major in the area.,https://www.youtube.com/embed/XhwFrs5Nze4,
drum and bass,"Pop, rock & soul",,People of different ages participated in drum bass,https://youtu.be/C-pmpimG72o?t=2s,
drumstick,,a stick for beating a drum,I just lost my drumstick,https://www.youtube.com/embed/seH8zJ9QIRc,
drumstick,,the lower part of the leg of a turkey (= large bird) or chicken eaten as food.,My elder brother love to eat chickens drumstick.,https://www.youtube.com/embed/seH8zJ9QIRc,
drunk and disorderly,,the crime of behaving badly in public after drinking too much alcohol,He has do the murder because he was in drunk and disorderly.,https://youtu.be/GOPy5EOq43g?t=3s,
drunk with power,,having a strong and unreasonable feeling of being able to control other people,,,
drunk as a lord,Drunkenness & sobriety,,Andy staggered in last night drunk as a lord.,https://youtu.be/VyXkmtFQdkk?t=2s,
run dry,,,": ""I'll take another beer, please.""Sorry, Bob, we've run dry.",https://youtu.be/CX1U1AHYtYU?t=6s,
Word -as dry as a bone,,extremely dry:,I don't think he's been watering these plants - the soil is as dry as a bone.,,
femininity,"womanliness, feminineness,",,Long hair has traditionally been regarded as a sign of femininity.,https://youtu.be/DDjnOA3q8t8?t=5s,
feminism,"the women's movement,","n organized effort to give women the same economic, social, and political rights as men",she was a great pioneer of feminism,https://youtu.be/Y5ZP1YcRmKA?t=3s,
femur,acetabulum,the long bone in the upper part of the leg,The femur was broken near the hip.,https://youtu.be/DcDmbsXo4eE,
fen,boggy,"an area of low, flat, wet land in England:",The road to Ely leads out across the fens.,https://youtu.be/D7m-GP3xePA?t=2s,
fence-mending,ambassadorial,,"Fence-mending is what she is best at, she's a wonderful listener.",https://youtu.be/vQCgKOOUi5E,
fencer,aikido,,I am a bad shot and an indifferent fencer.,https://youtu.be/398b-BeVIYY,
fend for yourself,,"to take care of and provide for yourself, without depending on anyone else:",The strike left a million commuters to fend for themselves in getting to work.,https://youtu.be/MXdL3cQoasA?t=2s,
fend someone or something off,,to avoid dealing with something that is unpleasant or difficult:,The publisher offered shareholders a special dividend to try to fend off a hostile takeover bid from a competitor.,,
fender,,the part of a car or other vehicle that covers and protects the wheels,My Fender just broke out.,https://www.youtube.com/embed/0mCEpHXnl5g,
fender bender,,a road accident in which the vehicles involved are only slightly damaged,My cousin crushed his car fender bender.,https://youtu.be/gsxDgnWxdas?t=3s,
feng shui,,"an ancient Chinese belief that the way your house is built or the way that you arrange objects affects your success, health, and happiness",It's good feng shui to have a loving animal in your home.,https://youtu.be/gcZsziJJsTs?t=6s,
fennel,Herbs & spices,"a plant with a large, rounded base that is eaten as a vegetable and seeds that are used to give a special taste to food",Blanch some fennel in salted water.,https://youtu.be/aT_XtJdtSh4?t=7s,
fenugreek,Herbs & spices,"a plant with hard, yellowish-brown seeds, used as a spice in South Asian cooking","The seed is enclosed in a small pod about an inch long, and resembles fenugreek, only that it is blunter at both ends, as if cut off with a knife.",https://youtu.be/p6p5NROPLxE?t=6s,
feral,Uncontrolled,"existing in a wild state, especially describing an animal that was previously kept by people",feral dogs/cats are people best friend.,https://youtu.be/lBuH1UZd8sA,
ferment,,to change chemically through the action of living,Some of the foods are fermenting for long process.,https://youtu.be/EwQubTkhMSk?t=4s,
Fern,,"a green plant with long stems, wide, thin leaves, and no flowers",We have a fern garden near our house.,https://youtu.be/HT4EYpMgbfo?t=2s,
ferocity,ferociousness,The president came in for some ferocity criticism,The ferocity of the attack shocked a lot of people.,https://youtu.be/PX7lCmHkmN4?t=3s,
ferret,Wild mammals,"a type of weasel (= small animal with a long, thin body) that usually has black feet and black fur around its eyes",We see a ferret in the central zoo.,https://youtu.be/B0HK3QVlrks?t=4s,
ferret something out,Finding and discovering,"to find out a piece of information or find someone or something, after looking in many places or asking many questions",I know his name but I haven't managed to ferret out where he lives.,,
Ferris wheel,amusement arcade,"a large, vertical wheel in an amusement park with seats that stay horizontal as the wheel turns round",We went to the fair and had a ride on Ferris wheel.,https://youtu.be/ch1fW3yUf9Y?t=3s,
ferry,,,"There's no bridge around here, but you can take a ferry across the river",https://youtu.be/Afpos_wx1Jg?t=2s,
ferry,,,"As parents, we seem to spend most of our time ferrying the kids to and from their friends' homes.",https://youtu.be/Afpos_wx1Jg?t=2s,
fertile,,able to produce a large number of high-quality crops,We have a fertile land in our countryside.,https://youtu.be/NcuLZDrX1do?t=1s,
fertilize,,to spread a natural or chemical substance on land in order to make plants grow well,You have to fertilize your garden,https://youtu.be/C5-gjPx2IVw?t=4s,
fertilizer,,a natural or chemical substance that is spread on land in order to make plants grow well,We use good fertilizer  for our plants.,https://youtu.be/hQESc12CY-s?t=1s,
fervent,,showing strong and sincere feelings or beliefs,She was a fervent supporter of art and culture.,https://youtu.be/nZ4ehCkpk-o?t=4s,
fervour,"strong, sincere feelings",,The country was swept by patriotic fervor.,https://www.youtube.com/embed/ha0t0vjq3Uw,
fess up,,"to tell the truth or say that you are responsible, confess",How can we force the president to fess up and accept responsibility for his behavior?,https://youtu.be/VeDzE3QC8Fg?t=2s,
fest,,"a beer, film, jazz",a media-fest was held in last winter in the country.,https://youtu.be/BsCjmqMi4cc?t=3s,
fester,,Passing on illness & causing disease,It was better that she expressed her anger rather than let it fester inside her,https://www.youtube.com/embed/29j5CKyk25g,
festoon,,"to decorate a place or thing with strips of cloth or chains of paper, lights, flowers,",a straw hat festooned with paper flowers,https://www.youtube.com/embed/9G8QLlguMHQ,
f'te,"Celebrations, parties & special occasions","a special celebration, often for a particular purpose, or to honor someone",They're holding the village fete on the green.,https://youtu.be/MH-4UJrU07o?t=4s,
fetish,,an activity or object that someone is interested in to an extreme degree and that the person gives an unreasonable amount of time or thought to,He had a fetish about clothes.,https://youtu.be/WhB-yTAbQuI?t=2s,
fetus,Animal reproduction,,,https://youtu.be/KoXIRCTU4Js?t=1s,
Feud,Arguments & disagreements,,a ten-year-old feud between the two countries,https://youtu.be/s-cet-rKlt4,
feudal,Anglo-Saxon,a feudal lord/kingdom/society,,https://youtu.be/gRJRctoKIHc?t=2s,
fever,,,The child has a rash and a high fever.,https://www.youtube.com/embed/2tx6G7kIzME,
fever pitch,,a state of very strong emotion,Excitement at the stadium had reached/was at fever pitch.,https://youtu.be/inEiOLOzIM0?t=7s,
feverish,,(HAVING FEVER),I'm feeling a little feverish n I hope it's not the flu.,https://www.youtube.com/embed/vHNjHWnC0E8,
few quantifier,,,He is one of the few (people) I can trust to keep a secret.,,
